PKPROJ;PKPACK;PKTEXT
BRU;00001050;Lorax Activity Booklet
BRU;00001091;Cat In The Hat Bookrack
BRU;00001139;BRP-NEW BACKPACK
BRU;00001144;Dr. Seuss & Friends Tote Bag
BRU;00001153;GO DOG GO/MULBERRY S
BRU;00001155;CAT IN HAT/GREEN EGG
BRU;00001179;Flap Your Wings
BRU;00001192;Things That Are good
BRU;00001195;Dr. Seuss Storage Box
BRU;00001196;Dr. Seuss Puzzle Frame
BRU;00001200;Dr. Seuss Puzzle 2
BRU;00001201;Dr. Seuss Storage Card Pack 2
BRU;00001202;Dr. Seuss Parent Guide 2
BRU;00001203;Dr. Seuss Puzzle 3
BRU;00001204;Dr. Seuss Storage Card Pack 3
BRU;00001205;Dr. Seuss Parent Guide 3
BRU;00001206;Dr. Seuss Puzzle 4
BRU;00001207;Dr. Seuss Storage Card Pack 4
BRU;00001208;Dr. Seuss Parent Guide 4
BRU;00001209;Dr. Seuss Puzzle 5
BRU;00001210;Dr. Seuss Storage Card Pack 5
BRU;00001211;Dr. Seuss Parent Guide 5
BRU;00001305;Dr. Seuss CD Zip Case
BRU;00001306;Music Bk- Tuck Me In
BRU;00001307;Cat In The Hat/Tuck Me In
BRU;00001308;Music Bk- The More the Merrier
BRU;00001309;Green Eggs & Ham/The Merrier
BRU;00001310;Music Bk- Play Along Songs
BRU;00001311;One Fish, Two Fish/Play Along
BRU;00001312;Music Bk- Kooky Kids
BRU;00001313;Fox In Socks/Kooky Kids
BRU;00001314;Music Bk- Brainy Bop
BRU;00001315;Dr. Seuss ABCs/Brainy Bop
BRU;00001393;BRP WELCOME BROCHURE
BRU;00001497;Sneetches Are Sneetches
BRU;00001498;I Can Add Upside Down
BRU;00001499;Boom Boom Boom
BRU;00001599;Cat in the Hat Backpack
BRU;00001600;BRP-CHARACTER TOTE
BRU;00001603;Dr. Seuss's ABC
BRU;00001604;The Cat in the Hat
BRU;00001605;Bears On Wheels
BRU;00001606;Green Eggs and Ham
BRU;00001607;Wacky Wednesday
BRU;00001608;The Hair Book
BRU;00001610;Wings On Things
BRU;00001611;A Fly Went By
BRU;00001612;Animal Riddles
BRU;00001614;The Bear Scouts
BRU;00001615;The Bears' Picnic
BRU;00001616;The Bears' Vacation
BRU;00001617;The Best Nest
BRU;00001618;The Big Jump
BRU;00001619;The B Book
BRU;00001620;Remember the First of Octember
BRU;00001621;Mr. Brown Can Moo!
BRU;00001622;The Spooky Old Tree
BRU;00001623;Bears In The Night
BRU;00001624;Would You Rather Be A Bullfrog
BRU;00001625;Hand, Hand, Fingers, Thumb
BRU;00001627;There's a Wocket in My Pocket
BRU;00001628;The Bear Detective
BRU;00001630;I'll Teach My Dog 100 Words
BRU;00001631;Oh Say Can You Say?
BRU;00001632;The Nose Book
BRU;00001633;Old Hat New Hat
BRU;00001634;I Can Read with My Eyes Shut
BRU;00001635;I Saw It On Mulberry Street
BRU;00001636;Inside, Outside, Upside Down
BRU;00001637;Marvin K. Mooney, Will You go?
BRU;00001638;In A People House
BRU;00001639;One Fish, Two Fish, Red Fish
BRU;00001640;Hop On Pop
BRU;00001641;Are You My Mother?
BRU;00001642;Sam and the Firefly
BRU;00001643;Great Day For Up
BRU;00001644;Bears On The Moon
BRU;00001645;The Digging-est Dog
BRU;00001648;The Tooth Book
BRU;00001649;The C Book
BRU;00001650;Oh, the Thinks You Can Think
BRU;00001651;The Ear Book
BRU;00001652;A Little Bug Went Ka-CHOO!
BRU;00001653;The Foot Book
BRU;00001654;He Bear, She Bear
BRU;00001655;The Big Honey Hunt
BRU;00001656;The Bike Lesson
BRU;00001657;The Cat in the Hat Comes Back
BRU;00001658;Come over to My House
BRU;00001660;A Fish Out of Water
BRU;00001661;Fox In Socks
BRU;00001662;Go, Dog, Go!
BRU;00001663;I Want to Be Somebody New!
BRU;00001664;It's Not Easy Being A Bunny
BRU;00001666;King, the Mice, and the Cheese
BRU;00001670;The Missing Dinosaur Bone
BRU;00001671;Put Me In The Zoo
BRU;00001673;Snow
BRU;00001675;Stop That Ball!
BRU;00001676;Summer
BRU;00001677;Ten Apples up on Top!
BRU;00001681;I Wish that I had Duck Feet
BRU;00001689;Shape of Me and Other Stuff
BRU;00001690;The Bears' Christmas
BRU;00001691;Cat in the Hat Anniversary Ed.
BRU;00001692;Stop, Train, Stop!
BRU;00001693;New Tricks I Can Do!
BRU;00001696;Snow Bugs
BRU;00001697;Come Down Now, Flying Cow!
BRU;00001699;Big Ball of String
BRU;00001700;Snug House, Bug House!
BRU;00001701;How to Get to Sesame Street?
BRU;00001702;Six Sticks
BRU;00001703;Toad Eats Out
BRU;00001704;It's Not Easy Being Big
BRU;00001705;Mice Are Nice
BRU;00001706;Pizza Pat
BRU;00001707;Oh Say Can You Say Dinosaur?
BRU;00001715;Fine Feathered Friends
BRU;00001716;The Early Bird
BRU;00001717;My New Boy
BRU;00001718;Cat Traps
BRU;00001719;Toad On The Road
BRU;00001720;Pie Rats Ahoy!
BRU;00001721;Monster Munchies
BRU;00001722;Frogs in Clogs
BRU;00001723;No Mail for Mitchell
BRU;00001724;Mole in a Hole
BRU;00001730;Four Pups and A Worm
BRU;00001731;The Eye Book
BRU;00001733;The A Book
BRU;00001735;Sleepy Dog
BRU;00001736;Thomas and the School Trip
BRU;00001737;The Best Mistake Ever!
BRU;00001738;Glasses for D.W.
BRU;00001741;Happy Birthday, Thomas!
BRU;00001743;P.J. Funnybunny Camps Out
BRU;00001744;Railroad Toad
BRU;00001745;There's No Place Like Space
BRU;00001746;Is a Camel a Mammal?
BRU;10002001;Yertle the Turtle
BRU;10002002;Horton Hears a Who!
BRU;10002003;I Can Lick 30 Tigers
BRU;10002004;I Can Write
BRU;10002005;Bartholomew and the Ooblek
BRU;10002006;Horton Hatches the Egg
BRU;10002007;The Cat's Qizzer
BRU;10002008;McElligot's Pool
BRU;10002010;Thidwick the Big-Hearted Moose
BRU;10002011;If I Ran the Circus
BRU;10002012;If I Ran the Zoo
BRU;10002013;I Saw It On Mulberry Street
BRU;10002014;Happy Birthday to You!
BRU;10002015;The Sleep Book
BRU;10002016;Getting to Solla Sollew
BRU;10002017;The Lorax
BRU;10002018;On Beyond Zebra!
BRU;10002019;Sneetches and Other Stories
BRU;10002020;Scrambled Eggs Super!
BRU;10002021;The King's Stilts
BRU;10002022;Tell You How Lucky You Are?
BRU;10002023;How The Grinch Stole Christmas
BRU;10002024;My Book About Me
BRU;10002026;Oh, The Places You'll Go!
BRU;10002027;Dr. Seuss Picture Frame
BRU;10002029;Daisy-Head Mayzie
BRU;10002030;Hunches in Bunches
BRU;10002215;GRINCH/ LORAX
BRU;10002216;HORTON WHO/ PLACES
BRU;00001197;Dr. Seuss Puzzle 1
BRU;00001198;Dr. Seuss Storage Card Pack 1
BRU;00001199;Dr. Seuss Parent Guide 1
