productid;name;articleid;date created;text;tie-in;name
;Mr. Brown Can MOO! Can You? | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40424;2009-07-09;Mr. Brown Can MOO! Can You? by Dr. Seuss is simply a must for your child’s book collection. In this Dr. Seuss classic, the mustached Mr. Brown moos like a cow, squeaks like a shoe, and even “DIBBLE, DIBBLE, DIBBLE DOPPs” like the rain, encouraging young readers to practice pronunciation along the way. Adding to the fun, Mr. Brown Can MOO! Can You? features words illustrated to look as they sound in Dr. Seuss’s signature style. So, for an eyeful as well as an earful, pick up Dr. Seuss’s unforgettable Mr. Brown Can MOO! Can You?;Tie-in Activity: Take your time as you read this book with your child—and have fun with it! Babies will love hearing the silly noises, while older children will enjoy trying to make the sounds themselves. Then take a moment during the day to be quiet and listen for other sounds you can both imitate.;./40424-Mr. Brown Can MOO! Can You  Book Club by Early Moments.xml
;Dr. Seuss’s ABC | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40425;2009-07-09;Need a helping hand teaching your little ones their ABCs? Try Dr. Seuss’s ABC. With its whimsical prose and zany illustrations, Dr. Seuss’s ABC takes children on a fun-filled romp through the alphabet while teaching them letters and pronunciation along the way. Considering all the other Seuss titles your children are sure to love, who better to introduce them to their ABCs than Dr. Seuss?;Tie-in Activity: Focus on a few letters as you read, and encourage your baby to copy the sounds you make. Or see if your child can think of other things that start with a certain letter sound. (Made-up words are just fine!);./40425-Dr. Seuss���s ABC  Book Club by Early Moments.xml
;Hop on Pop | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40426;2009-07-09;Hop on Pop by Dr. Seuss surely holds a special place in the hearts of pops—and moms—everywhere! Created as “the simplest Seuss for youngest use,” Hop on Pop starts with basic pairs of rhyming words and builds to longer, fun-filled, complete sentences. And each page of Hop on Pop features the clever rhymes and wacky characters that put Dr. Seuss at the top of every child’s reading list!;Tie-in Activity: Try a rhyme-inspired game such as “Hop and Stop.” Say a word and encourage your child to hop or jump until you say another word that rhymes. Or hold your baby near the ground and say, “Baby is so small.” Then lift her up and say, “Baby is so tall!”;./40426-Hop on Pop  Book Club by Early Moments.xml
;Fox in Socks | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40427;2009-07-09;"Take it slowly," Dr. Seuss warns at the beginning of Fox in Socks. "This book is dangerous." Published in 1965, Fox in Socks is Seuss at his most brilliant. From the first page to the last, this tongue-tying, raucous-rhyming book will have your child in stitches and your tongue in knots as the Fox in Socks tries to get Mr. Knox to play a rhyming game. The rhymes get more complex as you read. "Stop it! Stop it! I can't say such silly stuff, sir," says Knox. In the end, he catches on and so will you.;Tie-in Activity: Help your baby pick up the rhythms of the verses by clapping her hands as you read. Or choose a rhyme and try to say it as fast as you can—then see if your older child can say it, too.;./40427-Fox in Socks  Book Club by Early Moments.xml
;Ten Apples Up On Top! | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40428;2009-07-09;The early counting book Ten Apples Up On Top! is a fun way for children to learn the numbers 1 to 10. Children can count along as a lion, tiger, and dog balance apples on their heads and try not to let them drop. Using only 75 different words to create the rhymes, Dr. Seuss has provided parents with an important teaching tool that combines both math and literature in this read-along classic. Rhyming is a perfect way for children to begin seeing word patterns, which is what makes Ten Apples Up On Top! a must-have for every child’s bookshelf.;Tie-in Activity: As you read this book, let your child stack blocks on the floor or a table to see if he or she can keep up with the characters. Very young children might only stack two or three—while older children might go past ten.;./40428-Ten Apples Up On Top!  Book Club by Early Moments.xml
;There's a Wocket in My Pocket | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40429;2009-07-09;There's a WOCKET in my POCKET! A ZLOCK behind the CLOCK? All those and more can be found in the house where Dr. Seuss lives. There's a Wocket in My Pocket! is Seuss at his lyrical, rhyming best. Seuss's always imaginative illustrations and fun-filled nonsensical nouns make There's a Wocket in My Pocket! a masterful piece of children's literature as Seuss gives ordinary household objects extraordinary meaning. You and your child will have a rib-splitting time reading There's a Wocket in My Pocket! together. ;Tie-in Activity: Put a few common, child-safe objects in a paper bag. Let your child pick out an object and then make up a word that rhymes with it. Then have him draw a picture of what his made-up word looks like. ;./40429-There's a Wocket in My Pocket  Book Club by Early Moments.xml
;Bears on Wheels | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40430;2009-07-09;Stan and Jan Berenstain’s Bears on Wheels poses a curious question—How many bears on wheels are there? The unexpected answers keep children wondering as they wait for one little bear on a wheel to finish his ride. But on top of all the fun, Stan and Jan Berenstain’s Bears on Wheels introduces number and counting concepts with pictures and simple words that are sure to keep even the youngest reader engaged.;Tie-in Activity: Play a balancing and counting game with your child. How many stuffed animals can you stack on a toy truck before the animals tumble? Count as you go along—then try to beat the record.;./40430-Bears on Wheels  Book Club by Early Moments.xml
;I Can Read With My Eyes Shut | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40431;2009-07-09;Oh, the things you can learn through reading. That's the main lesson the Cat in the Hat tries to teach in I Can Read With My Eyes Shut! Like all of Seuss's books, I Can Read With My Eyes Shut! is more than a silly tale. Dr. Seuss is teaching us that if we keep our minds open and our brains working, the wonders of the world will be at our feet. Seuss knew that reading is essential for success and our ability to understand our world, and he passes that on to his readers in this classic tale I Can Read With My Eyes Shut! ;Tie-in Activity: Help fill the Cat’s head—or at least his hat—with books. Draw a picture of the Cat’s hat on a piece of paper, adding more stripes if you wish. Every time your child reads or listens to a book, write the name of the book and the date on a stripe. When the hat is full, you might surprise your child with a treat to celebrate.;./40431-I Can Read With My Eyes Shut  Book Club by Early Moments.xml
;It's Not Easy Being Big | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40432;2009-07-09;Children sometimes feel small, especially when mom and dad and everyone else, for that matter, seem so much bigger. It's Not Easy Being Big! is an easy-to-read introduction into spatial relationships starring Big Bird, Elmo, and the Sesame Street gang. In the end, young readers will find out that it is okay to be small or tall. It's Not Easy Being Big! is a nice way to help little ones see the value in themselves—exactly as they are now.;Tie-in Activity: Help your child understand size relationships. Start with two different-sized balls large enough for your child to handle, such as a tennis ball and beach ball. Ask her to roll you the small ball, or have her kick the big ball. Allow her to direct you, asking for the different balls—and have a ball!;./40432-It's Not Easy Being Big  Book Club by Early Moments.xml
;Flap Your Wings | Book Club by Early Moments;http://www.earlymoments.com/Templates/Default/Pages/Article.aspx?id=40433;2009-07-09;In the classic children’s book Flap Your Wings, author P.D. Eastman’s two birds are in for a surprise when a young boy finds an egg and puts it in their empty nest. Though Mrs. Bird doesn’t recognize the egg, Mr. Bird insists it must be theirs. So the Birds hatch the egg and take care of “Junior,” who is perhaps the funniest-looking bird ever! But what will happen to Junior when it’s time to flap his wings?;Tie-in Activity: Children love to pretend to fly. If you are able, carefully support your child in your arms and “fly” him around the room. (Of course, always be sure to support your back and his neck and head.) Encourage him to “flap his wings” if he can. ;./40433-Flap Your Wings  Book Club by Early Moments.xml
